"produktionsslag";"Brutto 1986";"Brutto 1987";"Brutto 1988";"Brutto 1989";"Brutto 1990";"Brutto 1991";"Brutto 1992";"Brutto 1993";"Brutto 1994";"Brutto 1995";"Brutto 1996";"Brutto 1997";"Brutto 1998";"Brutto 1999";"Brutto 2000";"Brutto 2001";"Brutto 2002";"Brutto 2003";"Brutto 2004";"Brutto 2005";"Brutto 2006";"Brutto 2007";"Brutto 2008";"Brutto 2009";"Brutto 2010";"Brutto 2011";"Brutto 2012";"Brutto 2013";"Brutto 2014";"Brutto 2015";"Brutto 2016";"Brutto 2017";"Brutto 2018";"Brutto 2019";"Brutto 2020";"Brutto 2021";"Netto 1986";"Netto 1987";"Netto 1988";"Netto 1989";"Netto 1990";"Netto 1991";"Netto 1992";"Netto 1993";"Netto 1994";"Netto 1995";"Netto 1996";"Netto 1997";"Netto 1998";"Netto 1999";"Netto 2000";"Netto 2001";"Netto 2002";"Netto 2003";"Netto 2004";"Netto 2005";"Netto 2006";"Netto 2007";"Netto 2008";"Netto 2009";"Netto 2010";"Netto 2011";"Netto 2012";"Netto 2013";"Netto 2014";"Netto 2015";"Netto 2016";"Netto 2017";"Netto 2018";"Netto 2019";"Netto 2020";"Netto 2021";"Egenanv�ndning 1986";"Egenanv�ndning 1987";"Egenanv�ndning 1988";"Egenanv�ndning 1989";"Egenanv�ndning 1990";"Egenanv�ndning 1991";"Egenanv�ndning 1992";"Egenanv�ndning 1993";"Egenanv�ndning 1994";"Egenanv�ndning 1995";"Egenanv�ndning 1996";"Egenanv�ndning 1997";"Egenanv�ndning 1998";"Egenanv�ndning 1999";"Egenanv�ndning 2000";"Egenanv�ndning 2001";"Egenanv�ndning 2002";"Egenanv�ndning 2003";"Egenanv�ndning 2004";"Egenanv�ndning 2005";"Egenanv�ndning 2006";"Egenanv�ndning 2007";"Egenanv�ndning 2008";"Egenanv�ndning 2009";"Egenanv�ndning 2010";"Egenanv�ndning 2011";"Egenanv�ndning 2012";"Egenanv�ndning 2013";"Egenanv�ndning 2014";"Egenanv�ndning 2015";"Egenanv�ndning 2016";"Egenanv�ndning 2017";"Egenanv�ndning 2018";"Egenanv�ndning 2019";"Egenanv�ndning 2020";"Egenanv�ndning 2021"
"total tillf�rsel av el";140486;148745;151294;155144;159417;153609;155292;153791;149718;156070;156518;159659;165105;163615;163893;172779;166842;159721;168100;173634;160847;164793;162404;150452;163187;163644;177982;165829;167514;171352;170418;176146;175586;177493;175644;180120;135520;143695;146174;150902;154622;148656;150626;149191;145069;151847;152391;155492;160654;159226;160181;168799;163344;156821;164470;169558;157786;160937;158715;146971;159844;160009;174124;161872;163808;168230;166786;172377;171862;174700;172725;176946;4966;5050;5120;4242;4795;4953;4666;4600;4649;4223;4127;4167;4451;4389;3712;3980;3498;2900;3630;4076;3061;3856;3689;3482;3343;3635;3858;3957;3706;3122;3632;3768;3724;2793;2919;3175
"vattenkraft";60933;71854;69883;71750;72509;63249;74364;74647;59097;68096;51740;69056;74743;71691;78584;79061;66358;53540;60588;72692;61638;66163;68997;65414;67176;67064;78939;61361;63763;75312;62137;65066;62150;65300;72290;73799;60134;70950;69015;70914;71676;62499;73524;73809;58375;67247;51100;68227;73846;70872;77862;78428;65827;53112;60103;72032;61145;65634;68595;64973;66773;66661;78466;60993;63380;74861;61764;64676;61777;64908;71856;73356;799;904;868;836;833;750;840;838;722;849;640;829;897;819;722;633;531;428;485;660;493;529;402;441;403;402;474;368;383;452;373;390;373;392;434;443
"pumpkraft";567;594;589;175;530;426;529;565;353;58;35;43;40;22;35;22;35;58;43;71;69;102;105;196;103;122;126;135;108;127;119;102;100;93;149;127;-243;-254;-252;-75;-227;-183;-227;-242;-151;-25;-15;-19;-17;-10;-14;-10;-16;-25;-18;-22;-29;-43;-46;-84;-44;-52;-54;-58;-46;-55;-51;-44;42;61;77;69;810;848;841;250;757;609;756;807;504;83;50;62;57;32;49;32;51;83;61;93;98;145;151;281;147;175;180;192;155;182;170;146;58;32;73;58
"k�rnkraft";69951;67385;69424;65603;68185;76761;63544;61395;73156;69935;74274;69928;73583;73188;57316;72109;68111;67415;77671;72691;66977;66969;63889;52173;57728;60475;64037;66457;64877;56348;63101;65696;68549;66130;49198;52965;66884;64341;66274;62687;65225;73484;60774;58761;70086;66978;71362;66914;70500;70200;54772;69211;65550;65454;75000;69764;64983;64279;61266;49987;55626;58026;61393;63597;62185;54347;60542;63008;65801;64334;47262;50992;3067;3044;3150;2916;2960;3277;2770;2634;3070;2957;2912;3014;3083;2988;2544;2898;2561;1961;2671;2927;1994;2690;2623;2186;2102;2449;2644;2860;2692;2001;2559;2688;2748;1796;1936;1973
"konventionell v�rmekraft, fj�rrv�rme";3550;3311;2861;2310;2290;3540;4136;4929;5325;5658;6450;5472;5991;5516;4545;5369;5824;6901;7615;6914;7512;7607;7670;9828;12721;10549;9341;9159;7410;7843;9122;9018;9126;9247;6715;8831;3443;3212;2775;2241;2221;3433;4012;4781;5165;5489;6257;5284;5686;5220;4370;5120;5650;6694;7382;6736;7249;7341;7402;9484;12276;10180;9015;8839;7151;7568;8803;8703;8806;8924;6480;8522;107;99;86;69;69;107;124;148;160;169;193;188;305;296;175;249;174;207;233;178;263;266;268;344;445;369;327;321;259;274;319;316;319;324;235;309
"konventionell v�rmekraft, industri";2896;2837;2950;2889;2650;2978;3164;3616;3920;3928;4103;4286;4052;4063;4307;4067;4692;4775;4766;4977;5328;5914;6283;6107;6468;6000;6333;5844;5785;5816;5727;6203;6128;6959;6609;6894;2807;2761;2871;2813;2582;2905;3087;3533;3832;3844;4029;4220;4002;3887;4151;3918;4552;4637;4620;4821;5142;5707;6063;5894;6242;5790;6111;5640;5583;5613;5527;5986;5914;6716;6378;6653;89;76;79;76;68;73;77;83;88;84;74;66;50;176;156;149;140;138;146;156;186;207;220;214;226;210;222;205;202;204;200;217;214;244;231;241
"vindkraft";..;..;..;..;..;..;..;52;75;105;144;203;308;358;457;482;608;679;850;949;988;1432;1996;2485;3502;6101;7165;9842;11234;16268;15479;17609;16623;19847;27526;27244;..;..;..;..;..;..;..;52;75;105;144;203;308;358;456;482;608;679;850;949;988;1432;1996;2485;3502;6101;7165;9842;11234;16268;15479;17609;16623;19847;27526;27108;..;..;..;..;..;..;..;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;136
"solkraft";..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;13;19;35;47;97;143;230;391;663;1035;1507;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;13;19;35;47;97;143;230;391;663;1035;1507;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;0;0;0;0;0;0;0;0;0;0;0
"konventionell v�rmekraft, kondensproduktion";690;509;462;278;288;366;611;463;966;473;3869;453;279;309;305;474;1065;1940;915;734;776;528;690;460;535;830;329;311;426;235;288;318;300;174;281;388;617;446;377;200;204;292;524;389;872;401;3622;387;224;239;251;462;1033;1882;887;680;749;510;666;444;517;801;318;300;411;227;278;307;289;168;271;374;73;63;85;78;84;74;87;74;94;72;247;66;55;70;54;12;32;58;28;54;27;18;24;16;19;29;12;11;15;8;10;11;10;6;10;14
"konventionell v�rmekraft, gasturbin- och annan produktion";64;81;61;85;55;64;98;145;147;96;17;9;8;11;35;31;37;127;7;31;12;27;20;18;22;10;12;11;12;11;14;8;18;10;13;24;43;65;50;70;31;50;84;131;136;89;8;5;3;8;25;24;30;102;0;22;12;26;19;17;21;9;12;11;11;11;14;8;17;9;13;24;21;16;11;15;24;14;14;14;11;7;9;4;5;3;10;7;7;25;7;9;0;1;1;1;1;0;0;0;0;0;0;0;1;0;0;1
